filePath,totalValue,totalWeight,processingTime
00Uncorrelated\n00050\R10000\s071.kp,170319,122997,0.000997781753540039
00Uncorrelated\n00050\R10000\s072.kp,201797,129117,0.0009980201721191406
00Uncorrelated\n00050\R10000\s073.kp,197741,118289,0.0
00Uncorrelated\n00050\R10000\s074.kp,203486,131107,0.0
00Uncorrelated\n00050\R10000\s075.kp,192031,140063,0.0
00Uncorrelated\n00050\R10000\s076.kp,214659,109888,0.0
00Uncorrelated\n00050\R10000\s077.kp,211474,119769,0.0
00Uncorrelated\n00050\R10000\s078.kp,198116,113070,0.0
00Uncorrelated\n00050\R10000\s079.kp,179802,126008,0.0
00Uncorrelated\n00050\R10000\s080.kp,192724,123515,0.0
00Uncorrelated\n00050\R10000\s081.kp,194619,133063,0.0
00Uncorrelated\n00050\R10000\s082.kp,193577,130622,0.0
00Uncorrelated\n00050\R10000\s083.kp,194310,107482,0.0
00Uncorrelated\n00050\R10000\s084.kp,183242,137682,0.000997304916381836
00Uncorrelated\n00050\R10000\s085.kp,194996,128346,0.0
00Uncorrelated\n00050\R10000\s086.kp,217595,124453,0.0
00Uncorrelated\n00050\R10000\s087.kp,216017,100253,0.0
00Uncorrelated\n00050\R10000\s088.kp,200824,130932,0.0
00Uncorrelated\n00050\R10000\s089.kp,227570,116461,0.0
00Uncorrelated\n00050\R10000\s090.kp,200123,130498,0.0
00Uncorrelated\n00050\R10000\s091.kp,213998,135467,0.0
00Uncorrelated\n00050\R10000\s092.kp,209745,142837,0.0
00Uncorrelated\n00050\R10000\s093.kp,205364,119278,0.0
00Uncorrelated\n00050\R10000\s094.kp,199980,123428,0.0
00Uncorrelated\n00050\R10000\s095.kp,189398,135479,0.0
00Uncorrelated\n00050\R10000\s096.kp,205924,117361,0.0
00Uncorrelated\n00050\R10000\s097.kp,192283,133881,0.0
00Uncorrelated\n00050\R10000\s098.kp,206338,126438,0.0
00Uncorrelated\n00050\R10000\s099.kp,206719,105275,0.0
00Uncorrelated\n00100\R01000\s000.kp,46537,22519,0.0009961128234863281
00Uncorrelated\n00100\R01000\s001.kp,41049,22689,0.0
00Uncorrelated\n00100\R01000\s002.kp,45504,21604,0.0
00Uncorrelated\n00100\R01000\s003.kp,43435,24038,0.0009648799896240234
00Uncorrelated\n00100\R01000\s004.kp,38846,25522,0.0
00Uncorrelated\n00100\R01000\s005.kp,42224,28455,0.0
00Uncorrelated\n00100\R01000\s006.kp,41490,25946,0.0
00Uncorrelated\n00100\R01000\s007.kp,38296,23023,0.0009968280792236328
00Uncorrelated\n00100\R01000\s008.kp,37171,25730,0.0
00Uncorrelated\n00100\R01000\s009.kp,36459,24262,0.0
00Uncorrelated\n00100\R01000\s010.kp,39712,26223,0.0
00Uncorrelated\n00100\R01000\s011.kp,38616,26383,0.0
00Uncorrelated\n00100\R01000\s012.kp,37446,25806,0.0
00Uncorrelated\n00100\R01000\s013.kp,40235,21715,0.0
00Uncorrelated\n00100\R01000\s014.kp,37248,26450,0.0
00Uncorrelated\n00100\R01000\s015.kp,42344,25811,0.0009675025939941406
00Uncorrelated\n00100\R01000\s016.kp,36378,24080,0.0
00Uncorrelated\n00100\R01000\s017.kp,43703,24374,0.0
00Uncorrelated\n00100\R01000\s018.kp,39025,25669,0.0
00Uncorrelated\n00100\R01000\s019.kp,37539,23003,0.0
00Uncorrelated\n00100\R01000\s020.kp,37252,24187,0.0
00Uncorrelated\n00100\R01000\s021.kp,42374,24117,0.0
00Uncorrelated\n00100\R01000\s022.kp,45031,23122,0.0
00Uncorrelated\n00100\R01000\s023.kp,39741,24376,0.0
00Uncorrelated\n00100\R01000\s024.kp,41608,23830,0.0
00Uncorrelated\n00100\R01000\s025.kp,37308,24402,0.0
00Uncorrelated\n00100\R01000\s026.kp,42430,23291,0.0
00Uncorrelated\n00100\R01000\s027.kp,39259,25978,0.0
00Uncorrelated\n00100\R01000\s028.kp,38128,23468,0.0
00Uncorrelated\n00100\R01000\s029.kp,42813,24591,0.0
00Uncorrelated\n00100\R01000\s030.kp,41637,22601,0.0009980201721191406
00Uncorrelated\n00100\R01000\s031.kp,39435,22686,0.0
00Uncorrelated\n00100\R01000\s032.kp,40738,24857,0.0
00Uncorrelated\n00100\R01000\s033.kp,38898,23845,0.0009980201721191406
00Uncorrelated\n00100\R01000\s034.kp,40421,26707,0.0
00Uncorrelated\n00100\R01000\s035.kp,39420,22607,0.0
00Uncorrelated\n00100\R01000\s036.kp,39426,25474,0.0009970664978027344
00Uncorrelated\n00100\R01000\s037.kp,40216,24445,0.0
00Uncorrelated\n00100\R01000\s038.kp,37336,24124,0.0
00Uncorrelated\n00100\R01000\s039.kp,37693,22368,0.0
00Uncorrelated\n00100\R01000\s040.kp,41343,23149,0.0009968280792236328
00Uncorrelated\n00100\R01000\s041.kp,39824,26005,0.0
00Uncorrelated\n00100\R01000\s042.kp,39033,24189,0.0009970664978027344
00Uncorrelated\n00100\R01000\s043.kp,41907,24036,0.00099945068359375
00Uncorrelated\n00100\R01000\s044.kp,38466,24347,0.0
00Uncorrelated\n00100\R01000\s045.kp,40023,27169,0.0
00Uncorrelated\n00100\R01000\s046.kp,37251,24005,0.0
00Uncorrelated\n00100\R01000\s047.kp,40984,24919,0.0
00Uncorrelated\n00100\R01000\s048.kp,39139,24401,0.0
00Uncorrelated\n00100\R01000\s049.kp,40871,23328,0.0
00Uncorrelated\n00100\R01000\s050.kp,41412,22807,0.0
00Uncorrelated\n00100\R01000\s051.kp,45629,26204,0.0
00Uncorrelated\n00100\R01000\s052.kp,40641,26018,0.0
00Uncorrelated\n00100\R01000\s053.kp,37840,24922,0.0
00Uncorrelated\n00100\R01000\s054.kp,43101,22842,0.0
